demand_factor,price_factor,isru_share_factor,feasible,min_service_total,shortage_t,total_cost_mln,failed
1.1,1.15,0.75,false,0.8399,174.9,11533,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.1,1.15,0.5,false,0.7609,258.8,11533,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.1,1.3,1,false,0.909,90.9,12611,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.1,1.3,0.75,false,0.8399,174.9,12610,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.1,1.3,0.5,false,0.7609,258.8,12610,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1,1,false,0.8695,160.4,10452,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1,0.75,false,0.8034,244.4,10452,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1,0.5,false,0.7279,328.3,10452,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1.15,1,false,0.8695,160.4,11529,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1.15,0.75,false,0.8034,244.4,11529,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1.15,0.5,false,0.7279,328.3,11529,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1.3,1,false,0.8695,160.4,12606,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1.3,0.75,false,0.8034,244.4,12606,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
1.15,1.3,0.5,false,0.7279,328.3,12606,BASE_CRITICAL_SERVICE 2038 BASE_TOTAL_SERVICE 2036 BASE_TOTAL_SERVICE 2037 BASE_TOTAL_SERVICE 2038 BASE_TOTAL_SERVICE 2039 BASE_TOTAL_SERVICE 2040 RESERVE_45D 2035 RESERVE_45D 2036 RESERVE_45D 2037 RESERVE_45D 2038 RESERVE_45D 2039 RESERVE_45D 2040
