year,total_demand_t,critical_demand_t,opening_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,closing_t,service_total,service_critical,loss_share_of_throughput,reserve_required_t,reserve_actual_t,storage_capacity_t,storage_id
2035,100,80,12.4,122.88429319371727,5.529793193717277,99.99999999999999,80,0,17.354499999999994,0.9999999999999999,1,0.045,12.32876712328767,12.4,70,BASE
2036,140,105,17.354499999999994,147.9,1.7747999999999997,140,105,0,23.479700000000022,1,1,0.011999999999999997,17.26027397260274,17.354499999999994,120,ZBO
2037,190,135,23.479700000000022,204.49999999999991,2.4539999999999993,190.00000000000003,135,0,35.52569999999993,1.0000000000000002,1,0.012000000000000002,23.424657534246574,23.479700000000022,120,ZBO
2038,287.5,195.49999999999997,35.52569999999993,301,3.6120000000000005,287.5,195.49999999999991,0,45.413699999999906,1,0.9999999999999997,0.012000000000000002,35.445205479452056,35.52569999999993,120,ZBO
2039,368,241.49999999999997,45.413699999999906,382.49999999999994,4.589999999999999,368.00000000000006,241.49999999999997,0,55.32369999999993,1.0000000000000002,1,0.011999999999999999,45.36986301369863,45.413699999999906,120,ZBO
2040,448.49999999999994,287.5,55.32369999999993,453.99999999999983,5.447999999999998,448.49999999999994,287.5,0,55.37569999999996,1,1,0.012,55.2945205479452,55.32369999999993,120,ZBO
