year,total_demand_t,critical_demand_t,opening_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,closing_t,service_total,service_critical,loss_share_of_throughput,reserve_required_t,reserve_actual_t,storage_capacity_t,storage_id
2035,100,80,12.4,122.88429319371727,5.529793193717277,99.99999999999999,80,0,17.354499999999994,0.9999999999999999,1,0.045,12.32876712328767,12.4,70,BASE
2036,140,105,17.354499999999994,147.9,1.7747999999999997,140,105,0,23.479700000000022,1,1,0.011999999999999997,17.26027397260274,17.354499999999994,120,ZBO
2037,190,135,23.479700000000022,199.80000000000004,2.3975999999999997,190.00000000000003,135,0,30.882099999999937,1.0000000000000002,1,0.011999999999999997,23.424657534246574,23.479700000000022,120,ZBO
2038,250,170,30.882099999999937,261.80000000000007,3.1416000000000004,250.00000000000003,170,0,39.540499999999966,1.0000000000000002,1,0.011999999999999999,30.82191780821918,30.882099999999937,120,ZBO
2039,320,210,39.540499999999966,332.5999999999999,3.991200000000001,320,210,0,48.14929999999994,1,1,0.012000000000000005,39.45205479452055,39.540499999999966,120,ZBO
2040,390,250.00000000000003,48.14929999999994,394.6999999999999,4.7364,390,250.00000000000009,0,48.112899999999925,1,1.0000000000000002,0.012000000000000004,48.082191780821915,48.14929999999994,120,ZBO
