year,total_demand_t,critical_demand_t,opening_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,closing_t,service_total,service_critical,loss_share_of_throughput,reserve_required_t,reserve_actual_t,storage_capacity_t,storage_id
2035,80,64,9.9,98.26649214659687,4.42199214659686,80,64,0,13.844499999999979,1,1,0.04500000000000001,9.863013698630137,9.9,70,BASE
2036,112,84,13.844499999999979,122.49999999999996,5.512499999999998,111.99999999999999,84,0,18.831999999999958,0.9999999999999999,1,0.045000000000000005,13.808219178082192,13.844499999999979,70,BASE
2037,152,108,18.831999999999958,165.30000000000004,7.438500000000001,152,108,0,24.693499999999965,1,1,0.045,18.73972602739726,18.831999999999958,70,BASE
2038,200,136,24.693499999999965,216.69999999999996,9.7515,199.99999999999997,135.99999999999997,0,31.641999999999985,0.9999999999999999,0.9999999999999998,0.045000000000000005,24.65753424657534,24.693499999999965,70,BASE
2039,256,168,31.641999999999985,275.3,12.3885,256,168,0,38.55349999999997,1,1,0.045,31.561643835616437,31.641999999999985,70,BASE
2040,312,200.00000000000003,38.55349999999997,326.70000000000005,14.701500000000001,312,199.99999999999997,0,38.551999999999836,1,0.9999999999999997,0.045,38.465753424657535,38.55349999999997,70,BASE
