profile,weights,strategy,score,excluded_reason,cost_mln,service,capex_mln
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2036,0.94,,8877,1,1250
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + ISRU 2037 + Earth-New 2036/2037,0.888,,8907,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + ISRU 2037 + Earth-New 2036/2037,0.886,,8916,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + ISRU 2037 + Earth-New 2035/2036,0.884,,8929,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2037 + Earth-New 2036/2037,0.883,,8962,1,1610
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + ISRU 2037 + Earth-New 2035/2036,0.882,,8939,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + ISRU 2037 + Earth-New 2035/2035,0.881,,8933,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2037 + Earth-New 2035/2036,0.88,,8984,1,1610
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + ISRU 2037 + Earth-New 2035/2035,0.879,,8942,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2037 + Earth-New 2035/2035,0.876,,8978,1,1610
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + ISRU 2036 + Earth-New 2036/2037,0.876,,8983,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2037 + ISRU 2036 + Earth-New 2036/2037,0.874,,8993,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ZBO 2036 + ISRU 2036 + Earth-New 2035/2036,0.872,,9006,1,1790
Критические потребители,cost:0.1 service:0.45 flexibility:0.1 capex:0.05 resilience:0.3,ISRU 2036 + Earth-New 2036/2037,0.871,,9038,1,1610
